days,wind_strength,max_jump_dist,bu_count,bu_area,bu_perim,td_count,td_area,td_perim
30,0.5,0,79,189.0,496.88434303496217,2,612.0,192.35028842544466
30,0.5,5,61,168.0,425.97265478953057,5,512.5,177.03657992645964
30,0.5,10,61,139.5,378.2741699796954,2,474.0,139.82337649086313
30,0.5,20,81,177.5,491.5706345359774,4,662.0,220.3919189857871
30,0.5,40,51,137.0,352.7178207935913,4,457.0,167.37972567696713
30,1.0,0,112,495.0,801.418397644481,2,1046.0,210.83556979968304
30,1.0,5,156,604.5,1247.7341981845198,4,1146.0,247.46298679765286
30,1.0,10,215,516.0,1372.344371239787,5,1062.5,304.4751801064722
30,1.0,20,113,496.5,988.8986283848354,2,1023.0,233.56349186104111
30,1.0,40,184,462.5,1180.035713374685,4,956.0,205.42135623730994
30,2.0,0,130,442.0,964.4133470105978,1,833.5,151.23759005323635
30,2.0,5,120,331.5,805.1757569573613,2,860.0,201.42135623731016
30,2.0,10,167,544.0,1211.592062560789,2,1173.0,233.56349186104126
30,2.0,20,135,495.5,1059.910821693656,3,1031.5,242.63455967290625
30,2.0,40,132,439.5,1027.1828996322981,2,951.0,170.7939392393405
30,4.0,0,96,508.5,951.6854249492395,2,1032.0,192.35028842544457
30,4.0,5,189,547.5,1268.462120245878,5,1141.5,290.2325394193531
30,4.0,10,101,505.5,918.5727265770321,1,921.5,177.13708498984812
30,4.0,20,140,580.0,1180.6214998123114,2,1125.0,265.847763108503
30,4.0,40,138,396.0,940.6143571373746,3,843.5,182.3502884254445
30,10.0,0,174,510.0,1254.1189744953695,2,1110.0,245.46298679765272
30,10.0,5,126,436.0,909.4011537017778,3,950.5,191.86500705120596
30,10.0,10,145,489.5,1024.4549775709409,5,973.5,325.93102422918815
30,10.0,20,175,641.5,1291.190042307236,2,1267.0,258.7766952966375
30,10.0,40,171,441.5,1110.1950929411184,4,1067.0,270.33304448274146
60,0.5,0,481,1166.5,3116.3771260216436,6,3614.0,505.6538956566635
60,0.5,5,437,965.5,2661.191267796518,6,3124.0,458.198051533948
60,0.5,10,501,1171.0,3150.2177464552105,5,3566.5,477.4112549695444
60,0.5,20,372,871.5,2353.142494561237,7,2748.5,469.51176003293307
60,0.5,40,438,1015.0,2735.174023853813,4,3059.0,530.0803025278569
60,1.0,0,639,3064.0,5335.152088214655,8,5608.0,690.2051942088848
60,1.0,5,965,3568.5,7266.9077144239,3,6965.5,688.2051942088851
60,1.0,10,857,3313.5,6394.678133597389,2,6220.0,603.3940110268425
60,1.0,20,592,2955.0,4995.706345359731,3,5324.5,504.09754647055985
60,1.0,40,606,3046.5,5552.472939388573,7,5528.5,576.766594028872
60,2.0,0,674,3108.0,5196.1571388485445,5,5622.5,559.210244842768
60,2.0,5,734,2610.0,5004.576403044807,7,5272.5,652.1635636485421
60,2.0,10,805,3450.0,6430.761394718099,5,6385.5,727.7615433949898
60,2.0,20,694,2846.0,5418.8505730245,4,5419.0,586.3229432149762
60,2.0,40,881,3832.5,7056.415290374713,4,7174.0,685.5777772109153
60,4.0,0,691,2910.0,5148.115508288214,5,5583.5,598.2224381515879
60,4.0,5,649,3601.0,6293.423299601503,7,6431.5,747.9036790187199
60,4.0,10,844,3777.0,7265.552375364568,8,6677.0,810.3300858899129
60,4.0,20,649,3278.5,5403.779505212636,7,6146.5,706.933116270243
60,4.0,40,812,3616.5,6174.570485859098,8,6498.0,693.4772721475271
60,10.0,0,840,3318.5,6626.969547519806,5,6419.5,719.4183976444817
60,10.0,5,696,2873.5,5578.33080376483,3,5438.5,540.0386719675145
60,10.0,10,709,3566.5,6284.938018227254,5,6373.5,628.8498551495579
60,10.0,20,604,2690.0,4605.331670316668,5,5151.5,596.565583902095
60,10.0,40,783,3382.5,6237.825319855036,6,6163.0,627.3940110268423
90,0.5,0,1157,2933.0,7670.436718399519,10,8835.0,903.124025129254
90,0.5,5,1023,2575.0,6745.520846072031,5,7839.5,709.3178925810939
90,0.5,10,1115,2694.5,7178.96658892694,2,7978.0,570.2224381515887
90,0.5,20,1052,2631.0,6926.273154751009,8,8318.0,924.195092941119
90,0.5,40,1303,3192.5,8465.411465230078,4,9953.0,760.2712113868687
90,1.0,0,2013,9890.0,16782.247245290906,5,17092.5,945.2834046956882
90,1.0,5,1908,9213.0,16026.284691769093,8,16364.0,1100.7220048757008
90,1.0,10,1964,8788.0,15885.18923733966,5,16159.5,1063.2072862499408
90,1.0,20,1640,7561.5,13469.218315653588,4,13904.0,872.1290757631374
90,1.0,40,1825,8800.0,14881.219541142968,6,15812.0,1184.302740679445
90,2.0,0,1801,9815.0,15999.456264644381,11,17230.5,1276.4865068635186
90,2.0,5,1795,9385.5,15780.561820341663,5,16505.5,1112.8052659963873
90,2.0,10,1900,8411.5,15490.714057233168,5,15478.5,862.9158723275411
90,2.0,20,1776,8013.5,14117.156482557682,7,14938.5,1119.8763338082517
90,2.0,40,1876,8947.5,15616.981084537896,8,16135.0,1144.3616151824904
90,4.0,0,1420,8643.0,12208.513554720437,4,14563.0,706.0214280248119
90,4.0,5,2042,9564.5,15963.958789961356,6,16974.0,1047.6093065034931
90,4.0,10,1799,9060.5,14945.545442950663,7,15734.5,1101.6509370638362
90,4.0,20,1901,8866.0,15755.147606779276,7,16380.5,1041.4082963767164
90,4.0,40,2158,10286.5,17683.204748178883,2,18318.0,1063.165655689598
90,10.0,0,1889,8267.5,14957.202297200212,8,15245.0,1246.9301576774142
90,10.0,5,1797,8451.5,14575.229642410695,9,15151.5,1118.5626253092669
90,10.0,10,1796,8730.5,14690.76874765402,9,15309.5,1194.3443712397877
90,10.0,20,1825,8871.0,14512.928127220493,10,15805.0,1388.753534168278
90,10.0,40,1757,9208.5,14210.896597927918,6,16506.0,1120.5626253092678
